a	50	1115,1103,958,982,327,1372,1591,229,1523,1557,305,1367,442,1974,1135,213,10,530,648,1101,1664,1428,1348,1235,1996,724,18,582,316,1854,1944,706,1203,1350,466,1039,1630,1589,1902,247,191,1805,1809,1230,969,731,426,1109,516,1592
abraham	3	1652,318,1455
addams	1	1261
agatha	6	100,765,698,1653,1984,681
agustin	2	980,559
alarcon	50	1115,1103,958,982,327,1372,1591,229,1523,1557,305,1367,442,1974,1135,213,10,530,648,1101,1664,1428,1348,1235,1996,724,18,582,316,1854,1944,706,1203,1350,466,1039,1630,1589,1902,247,191,1805,1809,1230,969,731,426,1109,516,1592
albert	76	1281,1318,883,819,463,1476,42,1418,1497,1679,936,1368,1268,1551,1822,1019,1093,408,218,1006,1434,1193,1969,299,1990,1869,241,593,1891,658,1972,770,790,1330,471,1710,261,771,6,779,915,623,975,1640,532,16,930,1084,1788,1880,1080,946,1123,1183,1994,383,67,676,343,1361,1546,1632,568,1414,1796,549,1192,1276,924,1332,17,1872,124,1160,1732,324
aldous	6	535,1697,1842,138,24,202
alejandro	3	769,113,1300
alejo	6	717,1184,203,1419,1774,1013
alexander	3	1487,1886,826
alexandre	110	620,1399,1341,1120,1438,773,96,1659,748,1511,935,928,1211,521,1820,26,509,58,1333,809,467,1550,1338,480,1310,1775,231,453,1220,1298,1161,618,919,1861,87,1195,1913,1978,1662,1837,30,911,1083,608,1090,1598,1440,823,1563,1248,1512,425,82,223,736,74,857,1873,477,793,1051,33,1130,1257,1571,1505,800,950,1513,1128,1373,1920,1423,357,1448,1784,1689,72,683,1245,1357,1694,1304,941,1342,150,787,1070,1104,840,1581,1249,1375,1225,1673,737,914,690,1275,101,745,297,538,719,1626,182,1286,1800,849,333
alfred	4	265,390,659,286
allan	65	292,1850,460,1810,1170,1462,1737,1579,1730,1306,1905,337,938,404,1863,1853,888,1253,1472,1240,323,428,751,264,507,1385,215,44,501,860,1044,1179,1272,1610,1705,312,1896,993,1923,329,733,607,1061,1067,1804,916,1490,1672,1900,1279,1831,511,846,1194,1849,1856,1882,1554,750,1369,836,1811,413,173,586
allen	3	1139,988,1405
allende	46	1182,176,1008,1754,1823,492,540,244,743,966,1054,454,671,685,893,1010,1711,904,522,1034,1534,1169,350,1715,1871,624,1356,552,1133,630,470,306,227,1519,1436,1114,1408,1355,703,834,1728,246,481,1545,555,1028
almafuerte	3	1558,1794,1295
alphonse	7	354,479,52,821,1072,579,1750
altamirano	8	1425,1745,1229,141,1134,1521,1016,844
amado	3	183,931,1980
anais	2	386,1322
anatole	3	1741,1224,1843
andré	3	112,275,1564
andrés	2	410,667
antoine	23	682,641,1032,1776,968,230,666,636,1503,758,76,1446,1706,1914,1717,459,1692,1845,714,1496,1312,949,1844
apollinaire	7	1580,1509,1150,491,374,1427,1931
arana	3	687,274,704
aristóteles	3	715,1674,1911
arthur	3	527,1646,1343
asimov	4	1838,1752,822,1608
auguez	2	457,1671
auguste	3	1698,142,105
austen	2	974,515
averroes	2	533,419
bacon	3	1057,175,1420
balzac	3	90,359,1940
barbusse	3	355,631,679
barca	3	777,1005,236
baruch	4	1926,560,900,1011
barón	2	1889,1199
baudelaire	5	1824,1042,1144,1020,1146
beauvoir	4	1424,735,1773,378
beethoven	3	240,570,1259
benavente	3	766,1993,1780
benedetti	4	1038,1997,707,1682
benito	3	626,1165,754
benjamin	3	547,590,858
bergman	2	1417,1922
bernard	7	69,1936,554,944,756,927,353
bertrand	4	1095,526,1307,1961
blaise	4	1430,184,1129,843
blake	4	347,1002,1122,696
bloy	1	269
bonifacio	3	1558,1794,1295
borges	6	70,277,1098,1305,903,702
bouvier	2	353,554
bruno	4	1475,1239,14,815
bruyere	3	122,1244,1515
buda	3	1003,1700,111
bukowski	4	388,1018,1094,973
byron	3	1778,979,1463
calamaro	2	410,667
calderón	3	777,1005,236
calvino	1	160
camilo	11	2,1384,429,791,1736,1469,415,918,145,250,1764
camus	70	1281,1318,883,463,1476,42,1497,1679,936,1368,1268,1551,1822,1019,1093,408,218,1006,1434,1193,1969,299,1990,1869,241,593,1891,658,1972,770,790,1330,471,1710,261,771,779,915,623,975,16,930,1880,1788,1080,946,1123,1183,1994,383,67,676,343,1361,1546,1632,568,1414,1796,549,1192,1276,924,1332,17,1872,124,1160,1732,324
carl	1	308
carlos	5	882,1320,1859,1906,1412
carpentier	6	717,1184,203,1419,1774,1013
carrol	16	776,1979,1576,178,955,1390,118,1616,57,513,205,155,739,563,151,23
carroll	11	79,984,1201,880,66,484,1479,1821,1547,1828,132
castellanos	9	694,1410,664,1132,399,529,933,496,617
cela	11	2,1384,429,791,1736,1469,415,918,145,250,1764
cervantes	3	986,1727,723
cesare	5	394,1494,1690,443,1000
charles	108	1932,1144,162,1009,1033,139,1064,1824,1111,808,1956,619,1059,310,1744,358,1799,1566,40,379,1555,1795,1808,1148,1964,298,1393,1447,1785,1020,1771,1552,1976,670,1907,1018,368,1325,1734,1818,11,1208,1590,1941,348,1409,1864,730,1395,594,25,375,280,1042,1687,506,1228,322,1267,1738,612,716,831,1337,1110,1280,934,411,1168,238,1670,973,871,1892,1146,817,875,1874,41,523,388,910,1094,475,1137,990,1525,832,43,1308,208,1317,1340,827,447,917,196,1729,1767,1461,627,1096,1643,143,1908,1876,606,1702
charly	1	952
chateaubriand	3	729,580,1852
che	3	1917,1802,1770
