a	680	498,1932,646,803,760,689,1284,1056,692,888,1006,389,92,454,1645,808,749,1956,918,1034,1226,358,1139,1201,1221,1218,596,1363,1766,191,483,1607,254,1764,708,1554,1260,377,1541,919,812,1017,640,193,244,419,1195,1683,1492,1122,1379,1007,329,438,48,1404,1531,1237,911,1672,1864,656,397,478,506,1738,789,1306,704,831,841,1394,1639,909,826,427,1725,1670,1319,1801,1630,999,565,1655,41,1546,1410,1471,1689,1377,586,941,1070,126,1576,936,1848,318,801,337,249,1947,1762,196,984,264,796,1027,1029,1518,916,937,177,36,1119,201,846,331,71,833,1595,1746,960,1399,93,386,1644,1105,1906,376,96,1659,655,1585,288,754,633,312,1744,1739,645,1877,499,383,830,676,1599,1703,1114,1408,1787,1229,7,1964,1775,575,1989,1093,1117,1444,1838,1460,770,1014,1273,1477,11,1176,485,484,1986,1208,30,747,1590,1347,1624,1578,209,1083,399,1153,1698,557,525,430,823,1419,176,374,107,1677,584,200,1063,1398,456,1597,74,593,1324,1534,1465,1962,133,1292,33,1871,238,915,1923,117,746,1758,1825,1897,1373,123,1414,820,1728,1724,1883,1062,1592,679,1371,1819,1720,148,1593,985,502,81,1680,294,418,851,1044,95,4,1071,1073,429,1275,1704,965,439,1125,1279,1856,205,1286,1545,1966,1188,1702,620,1150,1527,1048,239,1346,404,1009,1438,773,920,1435,1815,141,57,1705,1179,1330,46,850,1939,928,233,1235,99,1918,521,1566,943,765,26,1343,630,1942,311,384,1333,1338,295,834,1210,1250,298,409,1826,23,1613,1771,127,1946,740,1907,790,1069,1818,505,814,768,898,1663,561,1706,73,1941,79,687,398,1821,461,845,1332,124,110,1887,1335,1318,1261,1937,210,677,155,1368,1248,1512,1697,1987,764,694,1969,82,1191,223,1948,1828,1358,217,1147,1051,1130,1422,1067,1505,1075,1424,1717,165,956,1353,1302,714,1784,1858,1491,555,1041,493,1317,1564,1342,728,167,129,1497,1581,372,713,827,1915,1225,843,1707,690,855,605,863,1788,946,168,143,625,1025,1927,963,1496,228,366,709,533,1625,1011,131,591,1158,1439,792,1965,786,636,1111,371,1227,1810,1710,1059,310,1171,1688,779,271,1988,194,51,60,1835,1436,809,363,511,654,721,1194,1230,1148,897,1616,1393,1310,422,1023,1508,1451,1207,1667,1180,1271,987,87,161,1459,1543,115,420,722,1999,1232,1334,1684,184,870,248,1355,1816,608,1214,1028,1812,1390,391,269,1228,425,1127,356,926,1359,303,1360,1054,1112,1055,857,944,1010,877,522,369,1165,1060,977,121,1426,1892,16,878,1257,818,1254,1519,558,402,731,1202,250,710,1047,1968,1562,1660,1649,1745,1834,240,289,207,1673,1266,1532,1875,869,1798,1481,782,1287,1919,1885,930,1736,265,563,395,849,119
a11í	1	352
abajo	3	398,896,1087
abandona	3	1254,1518,1090
abandonaba	1	830
abandonada	3	1257,1108
abandonado	1	520
abandoné	1	1856
abate	2	182,941
abatidos	2	1330,1493
abierta	4	1234,1860,1960,309
abierto	2	374,1738
abismo	1	1777
abnegación	1	1542
abofeteado	1	936
abogado	2	1809,213
abogados	1	1398
abominable	2	1621,747
aborrece	1	710
abortar	1	391
abraso	1	1846
abraza	2	212,41
abrazados	1	648
abrazarla	1	1169
abrazo	2	719,80
abrazó	2	890,1439
abre	2	769,1643
abrieron	1	1306
abrigar	1	404
abrir	1	609
abrió	3	1998,1306,169
abrumado	2	1007,1075
abrí	1	35
abría	2	770,1138
absoluta	1	415
absolutamente	3	145,674,782
absoluto	6	872,743,569,1100,836,1560
abstinencia	1	717
abstracciones	1	751
abstuve	1	787
absurda	2	1739,1293
absurdos	2	1739,1293
abuela	1	654
abuelos	1	45
abundante	1	158
abundantes	1	1194
aburre	1	1231
aburren	1	1868
aburrimiento	3	1950,1236,912
aburrir	1	1161
aburrían	1	401
acaba	5	1639,1877,439,547,1595
acababa	3	1275,555,154
acabado	2	1553,95
acaban	2	950,369
acabar	1	1353
acabaron	1	1054
acabaré	1	730
acabo	1	233
acabó	5	654,630,1454,1345,1949
acalambradas	1	1959
acalambrado	1	689
acalambrados	1	1227
acaricia	1	738
acariciaba	1	261
acariciaban	1	1277
acariciado	1	787
acariciando	1	414
acariciar	1	1749
acariciase	1	1594
acaricié	1	158
acarició	1	1576
acaso	1	1171
acciones	3	1322,270,1953
acecha	1	1618
acechándolo	1	703
aceite	1	1315
acento	1	25
acepta	1	1059
aceptación	2	838,1510
aceptar	1	1131
aceptarlo	1	772
acera	1	343
aceras	1	576
acercamiento	2	1584,1292
acercarme	1	46
acercó	4	454,1112,17,1545
acerque	1	252
acerquen	1	796
acerqué	1	196
achacaba	1	1162
acobardaban	1	1409
acobardo	2	290
acogido	1	1007
acogí	1	329
acoja	1	276
acompaña	2	275,2000
acompañaba	1	1
acompañada	1	900
acompañarle	1	1093
acompañarlo	1	1729
acompañe	1	1688
acompañó	1	1220
acongoja	1	1389
acontecimientos	1	928
acordarnos	1	1116
acordarse	1	1775
acordaré	1	1799
acordándote	1	1830
acosa	1	1053
acosada	1	1686
acostada	1	764
acostarse	2	1597,1251
acostumbra	1	596
acostumbrada	1	244
acostumbrado	2	1055,790
acostumbran	1	1644
acostumbrarse	1	640
actitud	2	1163,1367
activos	1	1794
acto	1	366
actual	2	1347,1608
acuden	1	147
acuerda	1	496
acuerdas	1	1221
acuerdo	5	1622,1216,40,266,253
acuesto	1	1840
acumulado	1	510
acumularse	1	510
acusa	1	593
acusación	1	358
acusado	1	358
acusar	1	1254
acuérdate	1	1562
acérrimos	1	1229
adelante	2	603,888
además	7	1275,214,1161,1999,1901,1382,875
adentraba	1	1616
adivina	1	638
